class,coastal_aerosol,blue,green,red,red_edge1,red_edge2,red_edge3,nir,narrow_nir,water_vapour,swir1,swir2,scl,NDVI,kNDVI,NDVI8a,EVI,TCG_GSO,TCG,LAI,SAVI,MSAVI,BUI,NDBI,NDMI,BAEI,BSI,x_coord,y_coord
1,783,763.5,945,799,1359.5,2783,3178,3394.5,3415,3491,1840,1103,4,0.613477,0.363053,0.611287,0.53614,-0.053171,0.157468,1.821753,0.397627,0.380675,-0.882678,-0.289354,0.289354,1.325374,-0.222612,572680,5629220
1,471,455.75,669,386.5,1003,2775.25,3381,3548.25,3639.5,3722.5,1449.5,713,4,0.796257,0.558317,0.801881,0.627925,0.013743,0.224795,2.153831,0.521235,0.536112,-1.208899,-0.416303,0.416303,1.604618,-0.362946,566425,5628505
1,491,508.25,738.5,412.5,1116,3200,3749,3945,3921,3881,1738,814.5,4,0.803068,0.568239,0.796913,0.661322,0.008367,0.236786,2.274665,0.541798,0.554413,-1.192826,-0.390983,0.390983,1.383525,-0.342302,585670,5620095
1,393,399,594,393,1036,2586,2870,3178,3225,3333,1714,855,4,0.794947,0.559387,0.793603,0.558356,-0.018841,0.197798,1.902131,0.490293,0.486816,-1.083343,-0.305095,0.305095,1.48859,-0.25921,586245,5619385
1,492,502,630,521,972,2209,2691,2773.5,2928,2916,1626,932,4,0.683083,0.43545,0.694549,0.488216,-0.053835,0.161399,1.648367,0.426326,0.408276,-0.865486,-0.242259,0.242259,1.51489,-0.19666,585295,5620640
1,226,289,496.5,299,851,1974.5,2197.5,2409,2373.5,2272,1147,541,4,0.762741,0.523954,0.770789,0.431205,-0.007389,0.141647,1.4421,0.390156,0.364379,-1.094081,-0.336916,0.336916,2.040339,-0.280681,576575,5611440
1,361.25,543,857,507.5,1085,3285.5,3866.75,4057,4005,4054.25,1747,852.5,4,0.793739,0.557154,0.781954,0.723469,0.009461,0.239584,2.499512,0.550657,0.582726,-1.196502,-0.39672,0.39672,1.344851,-0.363506,562590,5611185
1,307,312.5,467,255,765,2688.5,3340,3466,3662.5,3519,1267.5,556.5,4,0.860692,0.629604,0.864871,0.628255,0.037958,0.217452,2.155028,0.529705,0.541882,-1.347927,-0.466647,0.466647,1.922582,-0.429306,568680,5607275
1,195,260.5,495,218,775,2863,3585,3765,3944,3777,1437,626,4,0.896963,0.666569,0.895069,0.674259,0.04187,0.264483,2.32147,0.593999,0.637572,-1.365732,-0.474699,0.474699,1.742105,-0.439603,562055,5606120
1,374,543.5,639.5,370.5,848,2282,2763,3075,3021,2608,1158,585,4,0.786697,0.549871,0.768956,0.56042,0.013682,0.165491,1.909601,0.439196,0.423174,-1.273407,-0.443282,0.443282,1.836236,-0.402911,567250,5605685
